ds,class,interpolation_step,n_images_synthetic,n_images_synthetic_cleaned,abs_change,rel_change
imagenette,n03028079,4,74,74,0,0.0
imagenette,n03028079,5,74,73,-1,-0.013513513513513514
imagenette,n03028079,6,84,80,-4,-0.047619047619047616
imagenette,n03028079,7,77,70,-7,-0.09090909090909091
imagenette,n03028079,8,81,78,-3,-0.037037037037037035
imagenette,n03394916,1,60,59,-1,-0.016666666666666666
imagenette,n03394916,2,56,52,-4,-0.07142857142857142
imagenette,n03394916,3,40,35,-5,-0.125
imagenette,n03394916,4,50,40,-10,-0.2
imagenette,n03394916,5,49,36,-13,-0.2653061224489796
imagenette,n03394916,6,53,29,-24,-0.4528301886792453
imagenette,n03394916,7,43,17,-26,-0.6046511627906976
imagenette,n03394916,8,60,25,-35,-0.5833333333333334
imagenette,n03417042,1,28,27,-1,-0.03571428571428571
imagenette,n03417042,2,39,37,-2,-0.05128205128205128
imagenette,n03417042,3,35,33,-2,-0.05714285714285714
imagenette,n03417042,4,31,28,-3,-0.0967741935483871
imagenette,n03417042,5,32,31,-1,-0.03125
imagenette,n03417042,6,28,24,-4,-0.14285714285714285
imagenette,n03417042,7,29,24,-5,-0.1724137931034483
imagenette,n03417042,8,20,12,-8,-0.4
imagenette,n03425413,1,24,24,0,0.0
imagenette,n03425413,2,24,24,0,0.0
imagenette,n03425413,3,27,27,0,0.0
imagenette,n03425413,4,26,26,0,0.0
imagenette,n03425413,5,23,23,0,0.0
imagenette,n03425413,6,24,24,0,0.0
imagenette,n03425413,7,34,34,0,0.0
imagenette,n03425413,8,26,26,0,0.0
imagenette,n03445777,1,19,19,0,0.0
imagenette,n03445777,2,20,19,-1,-0.05
imagenette,n03445777,3,10,9,-1,-0.1
imagenette,n03445777,4,17,17,0,0.0
imagenette,n03445777,5,14,12,-2,-0.14285714285714285
imagenette,n03445777,6,8,8,0,0.0
imagenette,n03445777,7,14,11,-3,-0.21428571428571427
imagenette,n03445777,8,17,12,-5,-0.29411764705882354
woof,n02086240,1,117,116,-1,-0.008547008547008548
woof,n02086240,2,117,116,-1,-0.008547008547008548
woof,n02086240,3,118,114,-4,-0.03389830508474576
woof,n02086240,4,118,116,-2,-0.01694915254237288
woof,n02086240,5,117,113,-4,-0.03418803418803419
woof,n02086240,6,118,112,-6,-0.05084745762711865
woof,n02086240,7,118,112,-6,-0.05084745762711865
woof,n02086240,8,118,114,-4,-0.03389830508474576
woof,n02087394,1,118,111,-7,-0.059322033898305086
woof,n02087394,2,117,108,-9,-0.07692307692307693
woof,n02087394,3,118,108,-10,-0.0847457627118644
woof,n02087394,4,118,106,-12,-0.1016949152542373
woof,n02087394,5,117,105,-12,-0.10256410256410256
woof,n02087394,6,118,108,-10,-0.0847457627118644
woof,n02087394,7,118,106,-12,-0.1016949152542373
woof,n02087394,8,118,103,-15,-0.1271186440677966
woof,n02088364,1,83,77,-6,-0.07228915662650602
woof,n02088364,2,82,75,-7,-0.08536585365853659
woof,n02088364,3,85,72,-13,-0.15294117647058825
woof,n02088364,4,87,77,-10,-0.11494252873563218
woof,n02088364,5,91,80,-11,-0.12087912087912088
woof,n02088364,6,80,65,-15,-0.1875
woof,n02088364,7,86,65,-21,-0.2441860465116279
woof,n02088364,8,76,62,-14,-0.18421052631578946
woof,n02089973,1,44,38,-6,-0.13636363636363635
woof,n02089973,2,43,36,-7,-0.16279069767441862
woof,n02089973,3,40,34,-6,-0.15
woof,n02089973,4,54,47,-7,-0.12962962962962962
woof,n02089973,5,43,31,-12,-0.27906976744186046
woof,n02089973,6,36,23,-13,-0.3611111111111111
woof,n02089973,7,39,22,-17,-0.4358974358974359
woof,n02089973,8,49,26,-23,-0.46938775510204084
woof,n02093754,1,77,50,-27,-0.35064935064935066
woof,n02093754,2,78,48,-30,-0.38461538461538464
woof,n02093754,3,74,41,-33,-0.44594594594594594
woof,n02093754,4,71,38,-33,-0.4647887323943662
woof,n02093754,5,72,36,-36,-0.5
woof,n02093754,6,79,40,-39,-0.4936708860759494
woof,n02093754,7,73,34,-39,-0.5342465753424658
woof,n02093754,8,71,38,-33,-0.4647887323943662
woof,n02096294,1,56,37,-19,-0.3392857142857143
woof,n02096294,2,49,32,-17,-0.3469387755102041
woof,n02096294,3,53,29,-24,-0.4528301886792453
woof,n02096294,4,53,23,-30,-0.5660377358490566
woof,n02096294,5,56,23,-33,-0.5892857142857143
woof,n02096294,6,41,11,-30,-0.7317073170731707
woof,n02096294,7,55,10,-45,-0.8181818181818182
woof,n02096294,8,42,10,-32,-0.7619047619047619
woof,n02099601,1,48,32,-16,-0.3333333333333333
woof,n02099601,2,47,30,-17,-0.3617021276595745
woof,n02099601,3,37,18,-19,-0.5135135135135135
woof,n02099601,4,40,29,-11,-0.275
woof,n02099601,5,35,20,-15,-0.42857142857142855
woof,n02099601,6,38,21,-17,-0.4473684210526316
woof,n02099601,7,37,20,-17,-0.4594594594594595
woof,n02099601,8,36,18,-18,-0.5
woof,n02105641,1,22,22,0,0.0
woof,n02105641,2,16,14,-2,-0.125
woof,n02105641,3,22,15,-7,-0.3181818181818182
woof,n02105641,4,29,18,-11,-0.3793103448275862
woof,n02105641,5,31,25,-6,-0.1935483870967742
woof,n02105641,6,23,18,-5,-0.21739130434782608
woof,n02105641,7,25,16,-9,-0.36
woof,n02105641,8,18,9,-9,-0.5
woof,n02111889,1,21,20,-1,-0.047619047619047616
woof,n02111889,2,27,22,-5,-0.18518518518518517
woof,n02111889,3,23,21,-2,-0.08695652173913043
woof,n02111889,4,17,14,-3,-0.17647058823529413
woof,n02111889,5,23,21,-2,-0.08695652173913043
woof,n02111889,6,25,20,-5,-0.2
woof,n02111889,7,27,21,-6,-0.2222222222222222
woof,n02111889,8,22,11,-11,-0.5
imagenette,n02102040,8,21,18,-3,-0.14285714285714285
imagenette,n02102040,7,12,10,-2,-0.16666666666666666
imagenette,n02102040,6,14,12,-2,-0.14285714285714285
imagenette,n02102040,5,20,18,-2,-0.1
imagenette,n02102040,4,8,8,0,0.0
imagenette,n02102040,3,12,12,0,0.0
imagenette,n02102040,2,20,19,-1,-0.05
imagenette,n02102040,1,13,13,0,0.0
imagenette,n03000684,8,40,14,-26,-0.65
imagenette,n03000684,7,42,22,-20,-0.47619047619047616
imagenette,n03000684,6,38,11,-27,-0.7105263157894737
imagenette,n03000684,5,28,14,-14,-0.5
imagenette,n03000684,4,35,22,-13,-0.37142857142857144
imagenette,n03000684,3,30,18,-12,-0.4
imagenette,n03000684,2,39,21,-18,-0.46153846153846156
imagenette,n03000684,1,35,23,-12,-0.34285714285714286
imagenette,n03028079,8,35,34,-1,-0.02857142857142857
imagenette,n03028079,7,41,39,-2,-0.04878048780487805
imagenette,n03028079,6,43,42,-1,-0.023255813953488372
imagenette,n03028079,5,31,31,0,0.0
imagenette,n03028079,4,38,37,-1,-0.02631578947368421
imagenette,n03028079,3,44,44,0,0.0
imagenette,n03028079,2,34,34,0,0.0
imagenette,n03028079,1,48,47,-1,-0.020833333333333332
imagenette,n03394916,8,81,36,-45,-0.5555555555555556
imagenette,n03394916,7,63,37,-26,-0.4126984126984127
imagenette,n03394916,6,72,54,-18,-0.25
imagenette,n03394916,5,75,62,-13,-0.17333333333333334
imagenette,n03394916,4,53,48,-5,-0.09433962264150944
imagenette,n03394916,3,65,61,-4,-0.06153846153846154
imagenette,n03394916,2,75,70,-5,-0.06666666666666667
imagenette,n03394916,1,64,59,-5,-0.078125
imagenette,n03417042,8,85,61,-24,-0.2823529411764706
imagenette,n03417042,7,90,74,-16,-0.17777777777777778
imagenette,n03417042,6,91,83,-8,-0.08791208791208792
imagenette,n03417042,5,98,81,-17,-0.17346938775510204
imagenette,n03417042,4,87,74,-13,-0.14942528735632185
imagenette,n03417042,3,95,86,-9,-0.09473684210526316
imagenette,n03417042,2,89,83,-6,-0.06741573033707865
imagenette,n03417042,1,91,83,-8,-0.08791208791208792
imagenette,n03425413,8,92,92,0,0.0
imagenette,n03425413,7,94,94,0,0.0
imagenette,n03425413,6,76,76,0,0.0
imagenette,n03425413,5,79,79,0,0.0
imagenette,n03425413,4,114,114,0,0.0
imagenette,n03425413,3,85,85,0,0.0
imagenette,n03425413,2,85,85,0,0.0
imagenette,n03425413,1,102,102,0,0.0
imagenette,n03445777,8,125,98,-27,-0.216
imagenette,n03445777,7,98,86,-12,-0.12244897959183673
imagenette,n03445777,6,107,104,-3,-0.028037383177570093
imagenette,n03445777,5,109,102,-7,-0.06422018348623854
imagenette,n03445777,4,98,88,-10,-0.10204081632653061
imagenette,n03445777,3,104,99,-5,-0.04807692307692308
imagenette,n03445777,2,105,102,-3,-0.02857142857142857
imagenette,n03445777,1,87,86,-1,-0.011494252873563218
imagenette,n03888257,8,122,95,-27,-0.22131147540983606
imagenette,n03888257,7,129,104,-25,-0.1937984496124031
imagenette,n03888257,6,124,109,-15,-0.12096774193548387
imagenette,n03888257,5,113,99,-14,-0.12389380530973451
imagenette,n03888257,4,123,110,-13,-0.10569105691056911
imagenette,n03888257,3,123,116,-7,-0.056910569105691054
imagenette,n03888257,2,116,110,-6,-0.05172413793103448
imagenette,n03888257,1,110,102,-8,-0.07272727272727272
woof,n02088364,8,26,17,-9,-0.34615384615384615
woof,n02088364,7,32,27,-5,-0.15625
woof,n02088364,6,29,27,-2,-0.06896551724137931
woof,n02088364,5,43,35,-8,-0.18604651162790697
woof,n02088364,4,40,36,-4,-0.1
woof,n02088364,3,29,26,-3,-0.10344827586206896
woof,n02088364,2,38,32,-6,-0.15789473684210525
woof,n02088364,1,30,26,-4,-0.13333333333333333
woof,n02089973,8,30,23,-7,-0.23333333333333334
woof,n02089973,7,29,25,-4,-0.13793103448275862
woof,n02089973,6,26,22,-4,-0.15384615384615385
woof,n02089973,5,33,28,-5,-0.15151515151515152
woof,n02089973,4,32,25,-7,-0.21875
woof,n02089973,3,28,24,-4,-0.14285714285714285
woof,n02089973,2,28,22,-6,-0.21428571428571427
woof,n02089973,1,26,26,0,0.0
woof,n02093754,8,39,18,-21,-0.5384615384615384
woof,n02093754,7,39,17,-22,-0.5641025641025641
woof,n02093754,6,39,24,-15,-0.38461538461538464
woof,n02093754,5,57,36,-21,-0.3684210526315789
woof,n02093754,4,49,31,-18,-0.3673469387755102
woof,n02093754,3,42,19,-23,-0.5476190476190477
woof,n02093754,2,48,29,-19,-0.3958333333333333
woof,n02093754,1,44,33,-11,-0.25
woof,n02096294,8,68,27,-41,-0.6029411764705882
woof,n02096294,7,62,25,-37,-0.5967741935483871
woof,n02096294,6,61,23,-38,-0.6229508196721312
woof,n02096294,5,75,35,-40,-0.5333333333333333
woof,n02096294,4,69,40,-29,-0.42028985507246375
woof,n02096294,3,65,34,-31,-0.47692307692307695
woof,n02096294,2,79,53,-26,-0.3291139240506329
woof,n02096294,1,61,35,-26,-0.4262295081967213
woof,n02099601,8,76,40,-36,-0.47368421052631576
woof,n02099601,7,83,41,-42,-0.5060240963855421
woof,n02099601,6,87,56,-31,-0.3563218390804598
woof,n02099601,5,83,56,-27,-0.3253012048192771
woof,n02099601,4,77,53,-24,-0.3116883116883117
woof,n02099601,3,68,42,-26,-0.38235294117647056
woof,n02099601,2,78,52,-26,-0.3333333333333333
woof,n02099601,1,83,63,-20,-0.24096385542168675
woof,n02105641,8,92,56,-36,-0.391304347826087
woof,n02105641,7,98,63,-35,-0.35714285714285715
woof,n02105641,6,93,57,-36,-0.3870967741935484
woof,n02105641,5,100,80,-20,-0.2
woof,n02105641,4,94,62,-32,-0.3404255319148936
woof,n02105641,3,92,74,-18,-0.1956521739130435
woof,n02105641,2,97,77,-20,-0.20618556701030927
woof,n02105641,1,76,66,-10,-0.13157894736842105
woof,n02111889,8,92,61,-31,-0.33695652173913043
woof,n02111889,7,85,71,-14,-0.16470588235294117
woof,n02111889,6,92,76,-16,-0.17391304347826086
woof,n02111889,5,90,78,-12,-0.13333333333333333
woof,n02111889,4,96,85,-11,-0.11458333333333333
woof,n02111889,3,97,80,-17,-0.17525773195876287
woof,n02111889,2,91,85,-6,-0.06593406593406594
woof,n02111889,1,96,87,-9,-0.09375
woof,n02115641,8,120,113,-7,-0.058333333333333334
woof,n02115641,7,111,95,-16,-0.14414414414414414
woof,n02115641,6,117,112,-5,-0.042735042735042736
woof,n02115641,5,130,119,-11,-0.08461538461538462
woof,n02115641,4,122,116,-6,-0.04918032786885246
woof,n02115641,3,107,99,-8,-0.07476635514018691
woof,n02115641,2,120,114,-6,-0.05
woof,n02115641,1,117,109,-8,-0.06837606837606838
